Text,Department,Urgency
Hi there... can you tell me if my... uh... antibiotic prescription is ready yet? Getting worse. 555-3789,Pharmacy,Medium
Hello... need to know if you can... um... deliver my medications this time? I can't drive right now. 555-3890,Pharmacy,Medium
Hi... calling about getting a refill on my... uh... asthma inhaler. Running really low. 555-3901,Pharmacy,High
Yes... wondering if my pain medication prescription has been... um... approved by insurance yet? 555-4012,Pharmacy,High
Hi... *crying* my child just had a seizure and we're on our way to the hospital. She's never had one before. We'll be there in 10 minutes,Emergency,High
Hello... I think I'm having a heart attack. Really bad chest pain and... uh... left arm is numb. Coming in now,Emergency,High
Hi... *gasping* having trouble breathing... feels like... um... can't get enough air. Should I come to Emergency?,Emergency,High
"Yes, hi... I cut my hand pretty bad while cooking and... uh... the bleeding won't stop. Do I need stitches? Please call back ASAP. 555-4123",Emergency,High
Hi there... my elderly father fell and hit his head... he's... um... acting really confused. Should we come in? 555-4234,Emergency,High
Hello... *sobbing* my wife is having severe chest pains and... uh... can't breathe properly. We're on our way. 555-4345,Emergency,High
Yes... think I might have appendicitis? The pain is... um... unbearable now. Coming to Emergency. 555-4456,Emergency,High
Hi... my toddler swallowed something and... uh... is having trouble breathing. Coming in now! 555-4567,Emergency,High
Hello... had a car accident and... um... feeling really dizzy. Should I come to Emergency? 555-4678,Emergency,Low
Hi there... having severe allergic reaction to... uh... peanuts. Face is swelling up. Coming in! 555-4789,Emergency,High
"Hello... need to schedule a routine... um... blood sugar test. No rush, just call when you can. 555-9890",Pharmacy,Medium
Hi there... Dr. Clark here. Need to discuss a patient's... uh... post-op complications. Call back at 555-9901,Doctors,High
Yes... wondering if my prescription for... um... blood pressure medication is ready? 555-9912,Pharmacy,Medium
Hello... *panicked* having severe abdominal pain and... uh... bleeding. Coming to Emergency now! 555-9923,Emergency,Medium
Hi... need to schedule a follow-up about my... um... ongoing migraine issues. Call when possible at 555-9934,Reception,High
Hi... um... my insurance rejected my migraine medication and it's... uh... $300 now? Need to figure something out,Pharmacy,High
Hello... the generic version of my anxiety medication isn't... uh... working as well as the brand name. Having panic attacks again,Pharmacy,Low
Yes... *sigh* been waiting three days for my pain medication and... um... nobody's called me back. Really struggling here,Pharmacy,Medium
Hi there... need to schedule my... uh... COVID booster and flu shot. Any availability next week?,Reception,Medium
Hello... had a really bad reaction to the shingles vaccine yesterday... um... arm is super swollen and red,Reception,High
Hi... *sniff* think there's a mistake with my thyroid prescription... uh... pills look different this time,Pharmacy,Low
Um... the pharmacist said my blood thinner prescription needs... uh... Doctors approval? Running out tomorrow,Pharmacy,Low
Hello... need to file a complaint about Dr. Smith's office. They've cancelled my appointment... um... three times now,Reception,High
Hi... trying to get my second pneumonia vaccine but... uh... keep getting conflicting information about timing,Reception,Medium
Yes... pharmacy gave me the wrong dosage of my... um... blood pressure medication. Need this fixed ASAP,Pharmacy,High
Hi there... called about my prenatal vitamins prescription... uh... three times already. Need these urgently,Pharmacy,Medium
Hello... *frustrated sigh* been trying to get my chemotherapy medications... um... approved for two weeks now,Pharmacy,High
Hi... need to know if my arthritis medication can be... uh... changed to something less expensive,Pharmacy,High
Hello... my diabetes supplies aren't covered anymore and... um... need help finding alternatives,Pharmacy,Medium
Yes... having severe side effects from the new... uh... antidepressant. Need to speak with someone,Pharmacy,Low
Hi there... waiting for authorization for my... um... specialty medication. It's been ten days,Pharmacy,Medium
Hello... need my second MMR vaccine scheduled... uh... for school registration next month,Reception,High
Um... got a flu shot yesterday and... *sigh* having really bad arm pain and fever,Reception,High
Hi... pharmacy keeps mixing up my medications and... uh... it's happened three times now,Pharmacy,Low
Yes... need to report a bad interaction between my... um... new medications. Getting really dizzy,Pharmacy,Medium
Hello... trying to schedule my tetanus booster but... uh... can't get through to anyone,Reception,High
